cluster_id,representative_organism,num_nodes_in_cluster
0,Gryllus bimaculatus,43
1,Locusta migratoria,211
2,Chorthippus parallelus,219
3,Anabropsis tonkinensis,131
4,Alulacris shilinensis,1
5,Tachycines zorzini,2
6,Tristira magellanica,2
7,Anabrus simplex,195
8,Angulomastax meiospina,9
9,Apalacris nigrogeniculata,14
10,Calliptamus barbarus,133
11,Thoradonta yunnana,20
12,Mekongiella kingdoni,5
13,Pseudothericles compressifrons,2
14,Coptotettix longtanensis,1
15,Diestrammena asynamora,4
16,Duolandrevus obsidianus,2
17,Edentatettix leyeensis,1
18,Alulatettix yunnanensis,22
19,Erianthus versicolor,1
20,Rhaphidophoridae sp.,1
21,Flatocerus nankunshanensis,2
22,Systolederus spicupennis,1
23,Loxoblemmus equestris,1
24,Tachycines shuangcha,2
25,Pielomastax shennongjiaensis,7
